Start x,Start y,End x,End y,Start Move,End Move,Comboer Character,Comboee Character,Start %,End %,Frames Between Moves,Stage
-14.202213,0.0001,-14.202213,0.0001,16,0,18,22,10,22.48,27,31
-54.942722,27.2001,-65.192154,28.481554,8,16,18,22,36.69,62.17,52,31
-65.192154,28.481554,-67.886734,4.069005,16,17,18,22,49.69,75.04,50,31
-6.317931,42.0001,-15.365099,56.268734,16,16,1,22,31.83,51.320004,50,8
-15.365099,56.268734,-26.979826,92.47463,16,15,1,22,47.170002,75.3,51,8
10.992237,0.0001,6.6517763,0.0001,17,21,1,22,52.95,62.14,22,8
13.140492,6.229071,18.087437,0.0001,17,21,1,22,99.64,115.07,32,8
32.483944,28.700068,36.95484,21.310337,16,8,1,22,0,25.83,39,8
40.08927,0.0001,51.803246,-1.3188604,21,17,22,22,0,20,51,32
61.686306,23.850584,47.53074,9.251168,55,21,22,22,20,34.899998,48,32
47.53074,9.251168,53.06263,32.660934,21,17,22,22,27.46,46.059998,42,32
53.06263,32.660934,60.63745,0.0001,17,21,22,22,34.899998,53.019997,34,32
60.63745,0.0001,75.380295,18.198965,21,16,22,22,46.059998,59.019997,54,32
75.380295,18.198965,71.77657,23.771973,16,11,22,22,53.019997,80.119995,54,32
-38.527145,0.0001,-43.280354,0.0001,17,21,22,22,0,18.880001,25,32
-43.280354,0.0001,-56.1609,-2.619813,21,21,22,22,11.04,26.080002,55,32
57.90768,0.0001,52.59564,3.707477,21,21,22,22,0,15.2,48,32
52.59564,3.707477,59.459908,10.351183,21,17,22,22,7.92,27.2,48,32
59.459908,10.351183,62.58014,0.0001,17,21,22,22,15.2,34,30,32
48.38472,0.0001,53.26383,0.0001,17,21,22,22,28.559998,45.359997,28,32
47.506927,23.450098,59.594982,39.54713,16,21,1,22,45.699997,61.909996,53,8
-3.4397001,42.0001,6.087693,83.93737,16,21,1,22,61.909996,77.24,57,8
-25.225769,17.591043,-39.544727,17.986088,55,15,1,22,104.34,124.979996,45,8
-15.186194,16.911509,-24.635464,5.7241445,55,8,1,22,30.46,46.580006,36,8
37.94752,23.450098,52.21253,78.75882,16,15,1,22,58.880013,89.97001,56,8
43.39466,41.067272,27.956696,31.935005,55,11,1,22,107.97001,131.27002,51,8
38.134315,15.190097,44.227997,-1.0473992,15,21,1,22,0,19.25,26,8
-4.5278883,51.4254,-2.7210448,51.4254,17,21,22,22,0,20,24,28
5.830114,75.2766,20.519476,57.764576,55,21,22,22,20,34.82,49,28
20.519476,57.764576,13.637268,77.901924,21,16,22,22,27.46,40.82,45,28
3.2440999,51.4254,11.711235,51.014755,8,21,22,22,40.82,56.86,36,28
34.935413,38.056656,46.47357,44.057476,8,17,22,22,56.86,76.9,41,28
-8.215796,0.0089,-12.669013,0.0089,17,21,22,22,0,18.48,23,28
-12.669013,0.0089,-25.391209,-1.0175092,21,21,22,22,11.04,25.359999,54,28
20.870003,0.0089,22.923214,0.0089,17,21,22,22,0,18.48,26,28
50.350285,30.2426,35.60115,42.301266,21,8,22,22,40.4,56.760002,56,28
-43.074787,51.488888,-43.074787,102.71308,8,16,22,22,107.64,122.64,68,28
28.564377,0.0089,17.090506,8.805453,21,21,22,22,8,21.92,47,28
-1.0635555,42.7501,14.47757,37.77902,8,8,1,22,15,35.19,30,2
-26.113297,16.1251,-25.670225,77.536736,8,15,1,22,74.44,93.130005,64,2
-26.550955,8.10007,-20.464092,10.232173,16,15,1,22,14.809999,46.64,43,2
-13.569893,17.08834,-24.428358,4.926429,55,8,1,22,49.64,63.960003,40,2
-24.428358,4.926429,-32.63085,-5.3619366,8,0,1,22,54.960003,63.960003,49,2
3.6758142,36.180103,22.46008,104.015114,16,16,1,22,73.58001,90.64001,62,2
-1.8819474,0.002875,-3.7224739,0.002875,17,21,1,22,26.249998,33.379997,27,2
-53.048183,0.48057857,-63.700634,6.8625107,16,8,1,22,33.379997,59.21,57,2
-63.700634,6.8625107,-73.31929,7.307895,8,11,1,22,50.21,77.21,43,2
9.888499,0.002875,8.840564,0.00287503,2,3,22,1,12,19.68,8,2
10.335128,27.650105,-1.1957511,40.08912,21,8,22,22,12,29,46,8
-1.1957511,40.08912,-6.3229876,37.27713,8,21,22,22,20,36.36,28,8
-28,23.449999,-12.582807,54.264847,21,21,22,22,65.520004,78.16,52,8
3.0785828,42.0001,3.0785933,63.808357,8,21,22,22,78.16,92.97001,51,8
46.030445,31.512188,56.46879,34.755768,8,17,22,22,50.98,71.979996,40,8
5.485811,0.0001,8.1926565,0.0001,17,21,22,22,0,20,22,8
8.1926565,0.0001,19.349567,15.081005,21,21,22,22,12,27.279999,44,8
