Start x,Start y,End x,End y,Start Move,End Move,Comboer Character,Comboee Character,Start %,End %,Frames Between Moves,Stage
-54.942722,27.2001,-65.192154,28.481554,8,16,18,22,36.69,62.17,52,31
-6.317931,42.0001,-15.365099,56.268734,16,16,1,22,31.83,51.320004,50,8
-15.365099,56.268734,-26.979826,92.47463,16,15,1,22,47.170002,75.3,51,8
10.352106,0.0001,6.6517763,0.0001,17,21,1,22,54.89,62.14,18,8
13.140492,6.229071,18.087437,0.0001,17,21,1,22,99.64,115.07,32,8
32.483944,28.700068,36.95484,21.310337,16,8,1,22,0,25.83,39,8
40.08927,0.0001,51.803246,-1.3188604,21,17,22,22,0,20,51,32
47.53074,9.251168,53.06263,32.660934,21,17,22,22,27.46,46.059998,42,32
53.06263,32.660934,60.63745,0.0001,17,21,22,22,34.899998,53.019997,34,32
60.63745,0.0001,75.380295,18.198965,21,16,22,22,46.059998,59.019997,54,32
75.380295,18.198965,71.77657,23.771973,16,11,22,22,53.019997,80.119995,54,32
-43.280354,0.0001,-56.1609,-2.619813,21,21,22,22,11.04,26.080002,55,32
57.90768,0.0001,52.59564,3.707477,21,21,22,22,0,15.2,48,32
52.59564,3.707477,59.459908,10.351183,21,17,22,22,7.92,27.2,48,32
48.38472,0.0001,53.26383,0.0001,17,21,22,22,28.559998,45.359997,28,32
47.506927,23.450098,59.594982,39.54713,16,21,1,22,45.699997,61.909996,53,8
-3.4397001,42.0001,6.087693,83.93737,16,21,1,22,61.909996,77.24,57,8
-25.225769,17.591043,-39.544727,17.986088,55,15,1,22,104.34,124.979996,45,8
-15.186194,16.911509,-24.635464,5.7241445,55,8,1,22,30.46,46.580006,36,8
37.94752,23.450098,52.21253,78.75882,16,15,1,22,58.880013,89.97001,56,8
43.39466,41.067272,27.956696,31.935005,55,11,1,22,107.97001,131.27002,51,8
20.519476,57.764576,13.637268,77.901924,21,16,22,22,27.46,40.82,45,28
3.2440999,51.4254,11.711235,51.014755,8,21,22,22,40.82,56.86,36,28
34.935413,38.056656,46.47357,44.057476,8,17,22,22,56.86,76.9,41,28
-12.669013,0.0089,-25.391209,-1.0175092,21,21,22,22,11.04,25.359999,54,28
50.350285,30.2426,35.60115,42.301266,21,8,22,22,40.4,56.760002,56,28
-43.074787,51.488888,-43.074787,102.71308,8,16,22,22,107.64,122.64,68,28
-1.0635555,42.7501,14.47757,37.77902,8,8,1,22,15,35.19,30,2
-26.113297,16.1251,-25.670225,77.536736,8,15,1,22,74.44,93.130005,64,2
-26.550955,8.10007,-20.464092,10.232173,16,15,1,22,14.809999,46.64,43,2
-13.569893,17.08834,-24.428358,4.926429,55,8,1,22,49.64,63.960003,40,2
3.6758142,36.180103,22.46008,104.015114,16,16,1,22,73.58001,90.64001,62,2
-52.945755,2.9037905,-63.700634,6.8625107,16,8,1,22,38.379997,59.21,52,2
-63.700634,6.8625107,-73.31929,7.307895,8,11,1,22,50.21,77.21,43,2
9.888499,0.002875,8.840564,0.00287503,2,3,22,1,12,19.68,8,2
10.335128,27.650105,-1.1957511,40.08912,21,8,22,22,12,29,46,8
-1.1957511,40.08912,-6.3229876,37.27713,8,21,22,22,20,36.36,28,8
-28,23.449999,-12.582807,54.264847,21,21,22,22,65.520004,78.16,52,8
3.0785828,42.0001,3.0785933,63.808357,8,21,22,22,78.16,92.97001,51,8
46.030445,31.512188,56.46879,34.755768,8,17,22,22,50.98,71.979996,40,8
5.485811,0.0001,8.1926565,0.0001,17,21,22,22,0,20,22,8
8.1926565,0.0001,19.349567,15.081005,21,21,22,22,12,27.279999,44,8
49.891167,-2.2272265,47.414616,-1.7112782,2,3,22,22,12,20,13,8
47.156696,23.450098,47.156696,27.82612,8,16,22,22,58.6,72.07,44,8
50.08708,23.450098,50.08708,45.28974,8,16,22,22,80.17,96.22,52,8
-44.441162,16.68248,-36.133507,1.3800759,55,8,1,22,5,21.46,34,32
-44.917934,16.851017,-44.917934,1.2474902,55,8,1,22,21.46,36.62,37,32
57.443993,17.212774,69.79063,0.5982816,55,16,1,22,63.079998,81.31999,45,32
69.79063,0.5982816,88.40448,54.085453,16,15,1,22,68.31999,96.31999,66,32
49.65824,16.90289,39.828217,-0.49734068,55,21,1,22,29.019999,40.079998,39,32
-28.179844,-1.5499074,-11.1006155,56.0965,16,15,1,22,67.72,95.72,59,32
39.618507,17.553467,54.128666,14.548872,55,15,1,22,100.72,115.36,46,32
0.32723537,3.303465,-3.9286106,4.277976,16,8,1,22,9.7,30.529999,29,32
-3.9286106,4.277976,-1.791201,-2.0077996,8,21,1,22,21.529999,35.03,29,32
73.22128,16.957727,63.127457,1.6962368,55,8,1,22,35.03,50.679993,39,32
54.93731,0.0001,41.77177,25.312876,16,15,1,22,50.679993,77.87999,55,32
41.77177,25.312876,-3.779675,13.036768,15,15,1,22,63.02999,86.06999,53,32
50.01439,16.829172,59.244194,2.6858115,55,8,1,22,21.84,38.3,36,32
66.63197,17.229094,79.20276,-0.69671464,55,8,1,22,65.549995,78.18,46,32
54.740185,25.0001,51.69529,37.197994,16,8,22,22,69.05,87.75,52,3
51.69529,37.197994,70.46048,46.258286,8,16,22,22,78.75,96.85,60,3
48.398224,25.0001,74.92278,63.72237,8,14,22,22,105.13,120.689995,70,3
76.668625,0.0001,54.6861,49.879997,21,16,22,22,120.689995,133.97,66,3
-10.969999,0.0001,-3.1720285,-5.5839005,8,21,22,22,52.6,68.88,45,3
-3.1720285,-5.5839005,12.8356285,18.44875,21,17,22,22,60.879997,79.2,56,3
33.874508,24.391514,14.949612,23.508194,55,15,22,22,79.2,95.659996,49,3
-44.315815,24.53674,-64.94059,20.579964,55,15,22,22,95.659996,116.34,51,3
-31.016354,0.0001,-29.899458,0.0001,17,21,22,22,0,16.130001,21,3
-29.899458,0.0001,-17.61247,1.0329614,21,21,22,22,8.37,23.25,52,3
-17.61247,1.0329614,-6.509761,18.698177,21,16,22,22,16.130001,29.25,43,3
-32.644547,0.0001,-16.922867,18.211905,21,16,22,22,53.53,66.25,57,3
-67.52595,0.0001,-84.34172,22.421392,21,21,22,22,65.399475,79.23947,59,3
-64.14734,11.181749,-62.40243,26.33063,8,16,22,22,79.23947,97.33947,58,3
-62.40243,26.33063,-60.27602,52.062176,16,15,22,22,88.23947,106.33947,64,3
81.411674,1.4370499,81.411674,72.25747,8,17,22,22,119.33947,139.88947,70,3
18.150003,54.4001,18.86841,55.266315,2,3,22,1,0,8,8,31
-10.16833,54.4001,-33.224052,71.77735,11,15,1,22,38.02,65.020004,65,31
7.047542,54.4001,1.7089553,61.550392,16,8,1,22,17.3,38.67,32,31
-4.452139,54.4001,-13.83398,90.40578,16,16,1,22,38.67,68.399994,49,31
16.660183,0.0001,13.7162485,0.0001001358,16,21,1,22,0,13.45,25,31
-49.124966,27.2001,-40.300735,48.220463,16,15,1,22,36.510002,63.72,46,31
-23.03784,13.732159,-36.633064,17.911945,21,16,22,22,24.279999,36.6,55,2
50.420258,23.299997,32.97747,47.242065,8,16,22,22,90.64001,104.29001,62,2
17.83025,0.002875,38.8181,-4.636215,17,9,22,22,62.93,87.93,31,2
21.032518,18.825096,21.032518,20.963451,8,8,22,22,35.92,53.109997,32,2
21.032518,20.963451,21.032518,24.116419,8,11,22,22,44.92,66.13,35,2
21.032518,24.116419,31.727602,18.09168,11,8,22,22,53.109997,73.78,56,2
31.727602,18.09168,46.224434,23.38895,8,10,22,22,66.13,90.78,49,2
9.130361,0.002875,20.649532,12.330456,21,21,22,22,12,26.96,46,2
34.255993,12.671445,28.100595,12.671445,17,21,22,22,36.96,55.199997,28,2
53.895287,0.623875,35.95207,18.272156,21,17,22,22,70.2,85.119995,64,2
44.43465,30.2426,37.034794,39.25334,16,11,1,22,27.05,57.79,39,28
