Character,Attack,Combo Rate,Total Occurrences
Pikachu,Down Special,0.0007407407407407407,1350
Luigi,Side Tilt,0.0007371913011426465,8139
Jigglypuff,Back Throw,0.0007209805335255948,8322
Yoshi,Fair,0.0007126198497019953,15436
Marth,Jab 1,0.0007079646017699115,11300
Ganondorf,Side Tilt,0.0006993006993006993,4290
Bowser,Nair,0.0006958942240779402,1437
Luigi,Fair,0.0006841950933437591,10231
DonkeyKong,Fair,0.0006393861892583121,1564
Falco,Side Special,0.00059600220062351,21812
Falco,Ledge Get Up Attack,0.0005595970900951316,1787
Fox,Side Smash,0.0005463286713286714,9152
DrMario,Fair,0.0005349023803155924,3739
YoungLink,Down Smash,0.0004878048780487805,2050
Bowser,Fair,0.0004734848484848485,4224
Ganondorf,Bair,0.0004547004660679777,17594
GameAndWatch,Bair,0.0004371584699453552,4575
DonkeyKong,Up Special,0.00043131334914815614,4637
Peach,Fair,0.00041623975409836063,31232
Peach,Forward Throw,0.000400753416422875,24953
Mewtwo,Back Throw,0.00039635354736424893,5046
Mario,Side Smash,0.00039416633819471815,2537
DrMario,Down Smash,0.0003718393653941497,8068
Ness,Up Special,0.00035014005602240897,2856
Link,Up Special,0.0003447087211306446,5802
Falco,Side Smash,0.0003392572875075028,38319
Luigi,Up Smash,0.00033344448149383126,2999
Ganondorf,Dash Attack,0.00033200531208499334,3012
Falco,Down Throw,0.00031372549019607844,6375
Peach,Down Smash,0.00030061124286048297,59878
Samus,Side Tilt,0.00027277686852154935,10998
Falco,Get Up Attack (From Back),0.0002585983966899405,7734
Sheik,Forward Throw,0.00025484199796126404,3924
Fox,Down Special,0.0002528084990149186,344134
Fox,Get Up Attack (From Front),0.00020682523267838676,4835
Link,Pummel,0.0001889287738522577,5293
Popo,Pummel,0.0001760749374933972,56794
Marth,Down Special,0.00016597510373443983,6025
Marth,Side Tilt,0.00013986013986013986,7150
Samus,Down Smash,0.00012393109431156277,16138
Sheik,Down Smash,9.444059686457218e-05,31766
Ganondorf,Fair,6.786562606040041e-05,14735
Marth,Side Smash,1.2256704417316272e-05,81588
Ganondorf,Up Tilt,0.0,44
Fox,Get Up Attack (From Back),0.0,12045
Samus,Forward Throw,0.0,144
Kirby,Up Smash,0.0,26
Yoshi,Ledge Get Up Attack,0.0,70
DrMario,Side Tilt,0.0,2812
GameAndWatch,Get Up Attack (From Front),0.0,101
Marth,Ledge Get Up Attack 100%+,0.0,183
Pichu,Dash Attack,0.0,39
Bowser,Jab 2,0.0,9
Falco,Ledge Get Up Attack 100%+,0.0,254
Ganondorf,Get Up Attack (From Front),0.0,186
CaptainFalcon,Down Smash,0.0,1146
YoungLink,Dair,0.0,1302
Luigi,Down Tilt,0.0,90
Kirby,Forward Throw,0.0,13
Luigi,Side Special,0.0,1278
Peach,Ledge Get Up Attack,0.0,1167
YoungLink,Forward Throw,0.0,56
Kirby,Ledge Get Up Attack 100%+,0.0,5
Jigglypuff,Side Smash,0.0,8484
Peach,Back Throw,0.0,5764
Mario,Dash Attack,0.0,132
Fox,Ledge Get Up Attack 100%+,0.0,353
Jigglypuff,Get Up Attack (From Back),0.0,832
Mewtwo,Ledge Get Up Attack 100%+,0.0,41
Pikachu,Ledge Get Up Attack,0.0,103
Jigglypuff,Down Smash,0.0,418
DonkeyKong,Jab 2,0.0,69
Ganondorf,Ledge Get Up Attack,0.0,391
Jigglypuff,Grab,0.0,63
Zelda,Nair,0.0,220
Ganondorf,Up Special,0.0,2665
Mewtwo,Ledge Get Up Attack,0.0,184
Samus,Side Smash,0.0,8195
Pichu,Back Throw,0.0,194
Mewtwo,Get Up Attack (From Front),0.0,300
GameAndWatch,Ledge Get Up Attack 100%+,0.0,3
DonkeyKong,Cargo Back Throw,0.0,74
Fox,Beam Sword Jab,0.0,1
Fox,Down Throw,0.0,4768
CaptainFalcon,Ledge Get Up Attack,0.0,1354
Jigglypuff,Down Tilt,0.0,164
Jigglypuff,Up Special,0.0,2
DrMario,Get Up Attack (From Back),0.0,266
Link,Ledge Get Up Attack,0.0,100
DonkeyKong,Cargo Down Throw,0.0,52
Ness,Pummel,0.0,4128
DrMario,Forward Throw,0.0,1094
Link,Dair,0.0,2719
GameAndWatch,Side Special,0.0,305
